4	3	100	1																					
0	1000																							
	51	49	58	10	10	1	1	7	14	94	157	230	300	357	421	496	575	672	746	811	868	951		
	52	27	43	10	9	1	1	6	49	144	205	272	368	428	508	578	663	761	854	937				
	53	37	31	10	14	1	1	7	97	194	254	319	381	467	532	582	661	718	794	878	934	1008		
	54	57	29	10	18	1	1	5	83	136	195	287	386	464	539	608	663	750						
	55	63	23	10	2	1	1	7	25	86	185	262	347	434	493	544	620	717	773	872	950	1009		
	56	53	12	10	6	1	1	6	90	170	252	344	400	474	548	637	713	774	852	929				
	57	32	12	10	7	1	1	5	68	142	194	278	353	436	524	581	671	767						
	58	36	26	10	18	1	1	6	50	134	209	261	348	417	489	564	627	699	771	822				
	59	21	24	10	28	1	1	6	37	108	186	279	375	452	538	635	734	811	888	947				
	60	17	34	10	3	1	1	7	64	150	224	287	371	449	518	572	651	741	814	909	991	1054		
	61	12	24	10	13	1	1	7	55	123	199	273	324	392	478	569	662	744	818	878	969	1034		
	62	24	58	10	19	1	1	6	23	121	213	290	361	450	515	610	701	786	873	967				
	63	27	69	10	10	1	1	7	0	55	144	211	308	398	492	570	621	678	752	843	924	1016		
	64	15	77	10	9	1	1	7	7	76	128	214	282	370	433	494	568	618	681	761	844	920		
	65	62	77	10	20	1	1	5	57	130	204	288	385	460	528	613	708	779						
	66	49	73	10	25	1	1	7	36	99	190	270	365	460	521	593	666	724	805	882	965	1024		
	67	67	5	10	25	1	1	7	53	138	237	305	358	421	488	571	664	729	793	892	968	1043		
	68	56	39	10	36	1	1	6	89	172	259	341	411	510	572	629	718	805	868	955				
	69	37	47	10	6	1	1	7	49	145	218	271	354	453	528	587	651	739	828	878	977	1034		
	70	37	56	10	5	1	1	7	18	90	166	253	332	421	493	585	684	773	869	929	995	1071		
	71	57	68	10	15	1	1	7	59	119	191	289	343	426	518	576	656	731	801	864	942	1034		
	72	47	16	10	25	1	1	7	23	110	183	245	315	402	473	543	639	719	771	841	891	951		
	73	44	17	10	9	1	1	6	95	182	260	355	435	518	601	665	753	847	921	983				
	74	46	13	10	8	1	1	5	36	88	141	223	306	379	446	526	583	651						
	75	49	11	10	18	1	1	5	85	176	239	316	372	464	545	599	673	755						
	76	49	42	10	13	1	1	6	60	137	191	287	377	459	529	593	674	755	848	936				
	77	53	43	10	14	1	1	6	74	169	245	331	422	512	570	667	718	797	887	966				
	78	61	52	10	3	1	1	7	51	117	179	263	329	387	483	536	615	683	748	802	869	955		
	79	57	48	10	23	1	1	6	90	182	238	334	398	481	560	623	691	743	842	935				
	80	56	37	10	6	1	1	6	79	168	258	334	394	482	573	671	747	814	885	984				
	81	55	54	10	26	1	1	7	22	75	135	220	283	342	413	467	521	597	680	765	856	943		
	82	15	47	10	16	1	1	6	46	142	202	281	378	454	546	611	661	728	815	886				
	83	14	37	10	11	1	1	5	85	135	216	302	391	474	563	648	718	793						
	84	11	31	10	7	1	1	7	60	140	195	276	363	444	513	566	631	695	790	855	906	978		
	85	16	22	10	41	1	1	7	29	89	182	234	292	357	430	514	606	685	763	860	916	996		
	86	4	18	10	35	1	1	7	83	135	234	311	393	446	516	574	650	742	805	886	942	1038		
	87	28	18	10	26	1	1	8	17	89	140	234	304	363	434	529	593	672	723	773	842	905	958	1048
	88	26	52	10	9	1	1	6	92	156	250	347	426	481	532	618	706	799	866	948				
	89	26	35	10	15	1	1	7	79	160	248	299	349	406	502	570	650	721	808	907	993	1091		
	90	31	67	10	3	1	1	5	58	142	216	305	382	481	571	653	704	770						
	91	15	19	10	1	1	1	7	21	84	140	225	276	369	445	501	600	667	734	806	897	955		
	92	22	22	10	2	1	1	7	39	135	205	293	376	457	544	619	681	759	830	909	966	1019		
	93	18	24	10	22	1	1	6	20	117	196	273	348	434	528	625	707	798	894	962				
	94	26	27	10	27	1	1	7	46	126	186	285	378	448	528	579	641	701	754	825	901	983		
	95	25	24	10	20	1	1	6	66	134	199	291	377	452	522	598	685	765	859	955				
	96	22	27	10	11	1	1	6	69	167	259	326	409	491	573	628	724	823	915	973				
	97	25	21	10	12	1	1	7	40	123	191	266	318	372	435	504	596	690	772	822	917	978		
	98	19	21	10	10	1	1	7	98	188	274	353	427	503	556	608	706	772	839	910	999	1084		
	99	20	26	10	9	1	1	7	60	118	216	287	381	453	520	571	632	694	751	847	898	974		
100	18	18	10	17	1	1	1	7	40	99	172	238	336	423	495	558	651	705	785	862	912	963		
