4	9	100	1																	
0	200																			
	38	5	5	10	16	1	1	4	4	47	73	122	136	179	206	242				
	39	60	12	10	31	1	1	4	19	49	74	118	137	174	188	236				
	40	40	25	10	9	1	1	4	9	43	70	116	142	180	193	236				
	41	42	7	10	5	1	1	5	3	34	60	101	102	136	128	171	200	246		
	42	24	12	10	5	1	1	5	0	43	34	56	64	108	123	164	177	219		
	43	23	3	10	7	1	1	5	18	50	52	76	71	106	119	162	188	218		
	44	11	14	10	18	1	1	5	5	39	68	106	117	151	161	198	212	255		
	45	6	38	10	16	1	1	4	11	46	68	108	127	164	193	225				
	46	2	48	10	1	1	1	4	6	53	77	123	134	172	194	238				
	47	8	56	10	27	1	1	4	0	39	51	95	123	162	185	225				
	48	13	52	10	36	1	1	4	3	51	64	110	128	170	197	237				
	49	6	68	10	30	1	1	6	6	50	62	100	89	115	120	153	163	206	227	259
	50	47	47	10	13	1	1	4	3	38	54	97	107	143	161	206				
	51	49	58	10	10	1	1	5	17	48	73	116	127	175	168	192	195	228		
	52	27	43	10	9	1	1	5	2	46	62	101	129	169	180	217	227	265		
	53	37	31	10	14	1	1	5	0	22	11	53	72	108	120	159	179	212		
	54	57	29	10	18	1	1	5	9	41	53	88	108	146	175	210	226	267		
	55	63	23	10	2	1	1	3	7	45	73	115	131	170						
	56	53	12	10	6	1	1	5	18	52	74	112	119	147	136	185	212	255		
	57	32	12	10	7	1	1	4	19	59	87	128	144	193	217	251				
	58	36	26	10	18	1	1	4	17	63	84	117	134	183	179	209				
	59	21	24	10	28	1	1	4	9	41	56	90	119	159	183	228				
	60	17	34	10	3	1	1	4	13	60	72	111	130	175	195	229				
	61	12	24	10	13	1	1	4	13	47	57	97	114	154	174	219				
	62	24	58	10	19	1	1	5	18	66	86	130	124	158	143	192	204	245		
	63	27	69	10	10	1	1	4	9	44	67	108	125	156	177	223				
	64	15	77	10	9	1	1	4	11	48	68	107	117	154	178	224				
	65	62	77	10	20	1	1	5	4	53	79	120	109	131	138	183	199	247		
	66	49	73	10	25	1	1	3	2	40	56	86	112	157						
	67	67	5	10	25	1	1	4	17	58	68	101	120	166	188	234				
	68	56	39	10	36	1	1	4	13	53	78	110	129	159	182	223				
	69	37	47	10	6	1	1	4	7	51	79	117	132	170	192	229				
	70	37	56	10	5	1	1	4	7	47	62	111	134	165	181	217				
	71	57	68	10	15	1	1	4	13	55	78	125	154	198	210	248				
	72	47	16	10	25	1	1	5	5	50	47	81	74	121	144	181	209	245		
	73	44	17	10	9	1	1	4	16	65	78	116	136	180	201	246				
	74	46	13	10	8	1	1	4	15	53	67	116	136	184	201	237				
	75	49	11	10	18	1	1	4	10	57	72	114	141	179	208	249				
	76	49	42	10	13	1	1	5	15	52	66	100	124	163	164	184	181	219		
	77	53	43	10	14	1	1	4	19	63	84	132	154	197	220	255				
	78	61	52	10	3	1	1	5	3	40	57	87	98	141	164	203	219	261		
	79	57	48	10	23	1	1	4	5	45	57	103	125	156	175	218				
	80	56	37	10	6	1	1	4	17	62	90	132	156	200	226	266				
	81	55	54	10	26	1	1	3	15	54	70	112	135	175						
	82	15	47	10	16	1	1	5	6	39	67	98	119	156	172	203	220	264		
	83	14	37	10	11	1	1	4	18	64	92	138	150	198	213	256				
	84	11	31	10	7	1	1	4	10	50	68	108	133	178	204	244				
	85	16	22	10	41	1	1	5	19	53	39	69	70	116	145	185	211	249		
	86	4	18	10	35	1	1	4	13	57	83	128	130	158	156	190				
	87	28	18	10	26	1	1	4	10	44	60	108	125	171	189	219				
	88	26	52	10	9	1	1	4	14	59	79	124	144	182	204	246				
	89	26	35	10	15	1	1	4	8	56	82	112	132	163	178	212				
	90	31	67	10	3	1	1	4	13	46	67	106	135	181	203	244				
	91	15	19	10	1	1	1	4	1	38	59	105	116	165	178	220				
	92	22	22	10	2	1	1	5	8	55	82	115	103	131	128	158	186	224		
	93	18	24	10	22	1	1	6	0	35	22	60	50	80	106	143	166	197	223	256
	94	26	27	10	27	1	1	4	11	43	53	97	122	169	186	228				
	95	25	24	10	20	1	1	5	15	64	88	137	126	162	154	202	225	257		
	96	22	27	10	11	1	1	5	15	45	59	94	106	150	160	207	227	259		
	97	25	21	10	12	1	1	4	8	57	70	106	118	164	182	231				
	98	19	21	10	10	1	1	4	15	52	74	112	132	175	196	241				
	99	20	26	10	9	1	1	5	10	44	68	109	138	178	179	207	204	251		
	100	18	18	10	17	1	1	5	12	42	56	90	101	139	159	201	218	257		
